"""UserID""","""Probability1"""
3,1
4,1
10,1
14,0
16,1
23,1
29,0
33,1
37,1
45,1
47,1
54,0
55,1
60,1
68,1
79,1
90,1
93,1
98,0
101,1
107,1
109,0
113,1
116,0
118,0
119,1
120,1
126,1
131,1
134,1
135,1
137,1
139,0
140,1
141,1
142,0
152,1
162,1
164,1
168,1
172,1
173,1
176,1
179,1
181,1
182,0
183,1
186,1
189,1
192,0
193,1
194,1
196,1
197,1
198,1
201,1
204,1
205,0
210,1
213,1
216,0
221,1
234,0
237,1
241,0
246,0
258,1
261,0
262,1
271,1
279,1
280,0
288,0
291,1
296,0
301,1
305,0
306,0
310,0
313,1
315,1
317,1
318,1
319,1
321,1
323,1
324,0
325,1
326,1
327,1
328,1
331,0
340,1
342,1
344,1
346,1
347,1
358,0
368,0
369,0
382,0
383,1
384,0
385,1
386,1
392,0
396,1
397,0
399,1
400,1
402,0
404,0
405,0
410,0
412,0
415,1
416,1
418,0
419,0
421,0
422,1
424,1
437,1
440,1
442,1
443,0
447,1
448,1
449,1
453,1
465,1
467,1
468,0
470,0
472,1
476,0
484,1
486,1
487,0
492,1
494,1
495,1
503,1
505,1
514,0
516,1
518,1
521,0
523,1
529,0
531,1
533,1
534,0
536,1
545,1
549,1
553,1
555,1
561,1
562,1
563,1
567,0
569,0
570,0
575,1
577,1
579,0
581,0
582,1
583,0
590,0
598,1
600,1
603,1
604,1
606,0
619,1
621,1
622,1
623,0
627,1
633,1
636,1
639,1
643,1
653,0
654,1
660,1
681,1
685,1
691,0
696,1
698,0
699,1
700,1
703,1
705,1
707,1
708,1
711,1
712,1
716,0
719,1
722,1
724,0
727,0
730,1
736,1
743,1
753,1
755,0
765,1
774,1
775,0
778,1
784,1
788,1
789,0
791,1
797,0
798,0
800,1
802,0
807,0
810,1
811,0
820,1
821,0
822,1
823,1
824,1
826,0
828,1
831,1
832,0
833,0
834,1
837,1
838,1
841,0
843,1
844,0
850,1
853,1
855,0
856,1
860,0
864,0
868,0
875,1
876,0
877,1
879,0
889,1
890,1
894,0
896,1
897,1
904,0
905,1
907,0
909,0
913,0
925,0
926,1
927,1
928,0
931,1
932,1
934,1
935,0
939,0
941,0
942,0
947,0
948,0
950,1
951,0
958,0
959,1
960,1
966,0
975,1
985,1
992,0
993,0
994,0
995,0
998,1
1001,1
1009,0
1011,0
1012,1
1013,1
1014,0
1028,1
1032,1
1033,1
1037,0
1051,1
1052,0
1055,1
1061,0
1067,1
1071,1
1073,1
1075,0
1077,0
1078,0
1081,1
1082,1
1088,1
1094,1
1100,0
1102,1
1103,0
1112,1
1114,1
1117,1
1118,1
1127,1
1130,1
1131,1
1132,1
1136,0
1139,0
1151,1
1152,1
1153,0
1155,1
1158,0
1161,1
1165,1
1166,1
1172,1
1173,0
1177,0
1178,1
1179,1
1180,0
1181,0
1182,1
1187,1
1190,1
1194,1
1197,0
1198,0
1203,0
1206,1
1208,0
1212,1
1214,1
1217,0
1220,0
1225,1
1232,1
1234,0
1241,1
1247,1
1250,1
1251,1
